
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.18', '592F[0.50,0.00,0.00]=0.26', 'le_us=5493', 'est[0.25,0.41,-0.03,60]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.26', 'le_us=5096', 'est[0.25,0.43,0.02,47]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.25', 'CD37[0.00,0.00,0.00]=0.24', 'le_us=5096', 'est[0.25,0.44,-0.02,47]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'le_us=6256', 'est[0.25,0.39,-0.07,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'le_us=6256', 'est[0.25,0.36,-0.10,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.24', 'le_us=5065', 'est[0.26,0.39,-0.05,59]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.26', 'CD37[0.00,0.00,0.00]=0.23', 'le_us=5310', 'est[0.25,0.41,-0.06,58]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.24', '592F[0.50,0.00,0.00]=0.33', 'le_us=5157', 'est[0.25,0.42,-0.08,40]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.21', '592F[0.50,0.00,0.00]=0.20', 'le_us=5096', 'est[0.25,0.42,-0.03,52]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.22', 'le_us=5279', 'est[0.26,0.43,-0.00,57]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.31', 'CD37[0.00,0.00,0.00]=0.30', 'le_us=5096', 'est[0.25,0.46,-0.04,55]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.30', 'CD37[0.00,0.00,0.00]=0.19', 'le_us=5249', 'est[0.25,0.44,0.00,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.27', 'CD37[0.00,0.00,0.00]=0.29', 'le_us=5249', 'est[0.26,0.46,-0.03,58]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'CD37[0.00,0.00,0.00]=0.00', 'le_us=5798', 'est[0.26,0.41,0.03,56]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.24', 'CD37[0.00,0.00,0.00]=0.30', 'le_us=5310', 'est[0.25,0.42,0.06,39]']"
