timestamp,odom_x,odom_y,odom_theta,ticks_L,ticks_R,delta_d,cumulative_d
1765545315.1026323,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.2026634,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.302808,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.4027898,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.5025864,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.602484,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.8026865,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545315.9027343,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.0026245,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.1024833,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.202615,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.302605,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.4025247,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.5027332,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.60245,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.702648,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545316.9027553,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.0028825,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.1026168,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.2026553,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.3026943,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.4027877,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.502688,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.6024806,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.702662,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545317.802678,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.0026126,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.1026077,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.2027106,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.3026137,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.4026918,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.502726,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.6026983,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.7029207,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.8026419,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545318.9026263,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.1024904,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.2025084,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.302816,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.40259,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.502637,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.6025498,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
1765545319.7027373,2.641372222873801,-0.008715944660391101,-0.20901819587569861,-25385,-24958,0.0,2.641386603180346
